service_id,date,exception_type
S_OBRA_007,20241123,1
S_DESAT_OBRA_007,20241123,2
D_OBRA_007,20241124,1
D_DESAT_OBRA_007,20241124,2
U_OBRA_007,20241125,1
U_DESAT_OBRA_007,20241125,2
U_OBRA_007,20241126,1
U_DESAT_OBRA_007,20241126,2
U_OBRA_007,20241127,1
U_DESAT_OBRA_007,20241127,2
U_OBRA_007,20241128,1
U_DESAT_OBRA_007,20241128,2
U_OBRA_007,20241129,1
U_DESAT_OBRA_007,20241129,2
S_OBRA_007,20241130,1
S_DESAT_OBRA_007,20241130,2
D_OBRA_007,20241201,1
D_DESAT_OBRA_007,20241201,2
U_OBRA_007,20241202,1
U_DESAT_OBRA_007,20241202,2
U_OBRA_007,20241203,1
U_DESAT_OBRA_007,20241203,2
U_OBRA_007,20241204,1
U_DESAT_OBRA_007,20241204,2
U_OBRA_007,20241205,1
U_DESAT_OBRA_007,20241205,2
U_OBRA_007,20241206,1
U_DESAT_OBRA_007,20241206,2
S_OBRA_007,20241207,1
S_DESAT_OBRA_007,20241207,2
D_OBRA_007,20241208,1
D_DESAT_OBRA_007,20241208,2
U_OBRA_007,20241209,1
U_DESAT_OBRA_007,20241209,2
U_OBRA_007,20241210,1
U_DESAT_OBRA_007,20241210,2
U_OBRA_007,20241211,1
U_DESAT_OBRA_007,20241211,2
U_OBRA_007,20241212,1
U_DESAT_OBRA_007,20241212,2
U_OBRA_007,20241213,1
U_DESAT_OBRA_007,20241213,2
S_OBRA_007,20241214,1
S_DESAT_OBRA_007,20241214,2
D_OBRA_007,20241215,1
D_DESAT_OBRA_007,20241215,2
U_OBRA_007,20241216,1
U_DESAT_OBRA_007,20241216,2
U_OBRA_007,20241217,1
U_DESAT_OBRA_007,20241217,2
U_OBRA_007,20241218,1
U_DESAT_OBRA_007,20241218,2
U_OBRA_007,20241219,1
U_DESAT_OBRA_007,20241219,2
U_OBRA_007,20241220,1
U_DESAT_OBRA_007,20241220,2
S_OBRA_007,20241221,1
S_DESAT_OBRA_007,20241221,2
D_OBRA_007,20241222,1
D_DESAT_OBRA_007,20241222,2
U_OBRA_007,20241223,1
U_DESAT_OBRA_007,20241223,2
U_OBRA_007,20241224,1
U_DESAT_OBRA_007,20241224,2
D_OBRA_007,20241225,1
U_OBRA_007,20241225,2
D_DESAT_OBRA_007,20241225,2
U_DESAT_OBRA_007,20241225,2
U_OBRA_007,20241226,1
U_DESAT_OBRA_007,20241226,2
U_OBRA_007,20241227,1
U_DESAT_OBRA_007,20241227,2
S_OBRA_007,20241228,1
S_DESAT_OBRA_007,20241228,2
D_OBRA_007,20241229,1
D_DESAT_OBRA_007,20241229,2
U_OBRA_007,20241230,1
U_DESAT_OBRA_007,20241230,2
U_OBRA_007,20241231,1
U_DESAT_OBRA_007,20241231,2
U_OBRA_007,20250101,1
U_DESAT_OBRA_007,20250101,2
U_OBRA_007,20250102,1
U_DESAT_OBRA_007,20250102,2
U_OBRA_007,20250103,1
U_DESAT_OBRA_007,20250103,2
S_OBRA_007,20250104,1
S_DESAT_OBRA_007,20250104,2
D_OBRA_007,20250105,1
D_DESAT_OBRA_007,20250105,2
U_OBRA_007,20250106,1
U_DESAT_OBRA_007,20250106,2
U_OBRA_007,20250107,1
U_DESAT_OBRA_007,20250107,2
U_OBRA_007,20250108,1
U_DESAT_OBRA_007,20250108,2
U_OBRA_007,20250109,1
U_DESAT_OBRA_007,20250109,2
U_OBRA_007,20250110,1
U_DESAT_OBRA_007,20250110,2
S_OBRA_007,20250111,1
S_DESAT_OBRA_007,20250111,2
D_OBRA_007,20250112,1
D_DESAT_OBRA_007,20250112,2
U_OBRA_007,20250113,1
U_DESAT_OBRA_007,20250113,2
U_OBRA_007,20250114,1
U_DESAT_OBRA_007,20250114,2
U_OBRA_007,20250115,1
U_DESAT_OBRA_007,20250115,2
U_OBRA_007,20250116,1
U_DESAT_OBRA_007,20250116,2
